[Iter 50] Loss: 3.3092 (P:2.6821, V:0.6232) | WinRate: 100.0% | AvgMoves: 16.4 | Buffer: 191128
[Iter 55] Loss: 3.3457 (P:2.6776, V:0.6645) | WinRate: 100.0% | AvgMoves: 15.6 | Buffer: 382408
[Iter 60] Loss: 3.3771 (P:2.6767, V:0.6968) | WinRate: 100.0% | AvgMoves: 15.1 | Buffer: 400000
[Iter 65] Loss: 3.3802 (P:2.6686, V:0.7078) | WinRate: 100.0% | AvgMoves: 15.5 | Buffer: 400000
[Iter 70] Loss: 3.3779 (P:2.6651, V:0.7097) | WinRate: 100.0% | AvgMoves: 14.7 | Buffer: 400000
[Iter 75] Loss: 3.3699 (P:2.6652, V:0.7015) | WinRate: 100.0% | AvgMoves: 14.7 | Buffer: 400000
[Iter 80] Loss: 3.3654 (P:2.6583, V:0.7038) | WinRate: 100.0% | AvgMoves: 14.7 | Buffer: 400000
[Iter 85] Loss: 3.3650 (P:2.6574, V:0.7041) | WinRate: 100.0% | AvgMoves: 15.2 | Buffer: 400000
[Iter 90] Loss: 3.3545 (P:2.6492, V:0.7021) | WinRate: 100.0% | AvgMoves: 15.3 | Buffer: 400000
[Iter 95] Loss: 3.3519 (P:2.6468, V:0.7021) | WinRate: 100.0% | AvgMoves: 14.6 | Buffer: 400000
[Iter 100] Loss: 3.3360 (P:2.6384, V:0.6943) | WinRate: 100.0% | AvgMoves: 15.1 | Buffer: 400000
[Iter 105] Loss: 3.3307 (P:2.6350, V:0.6925) | WinRate: 100.0% | AvgMoves: 14.3 | Buffer: 400000
[Iter 110] Loss: 3.3385 (P:2.6416, V:0.6937) | WinRate: 100.0% | AvgMoves: 15.0 | Buffer: 400000
[Iter 115] Loss: 3.3264 (P:2.6419, V:0.6814) | WinRate: 100.0% | AvgMoves: 14.9 | Buffer: 400000
[Iter 120] Loss: 3.3235 (P:2.6484, V:0.6720) | WinRate: 100.0% | AvgMoves: 15.0 | Buffer: 400000
[Iter 125] Loss: 3.3116 (P:2.6414, V:0.6669) | WinRate: 100.0% | AvgMoves: 14.2 | Buffer: 400000
[Iter 130] Loss: 3.3177 (P:2.6451, V:0.6695) | WinRate: 100.0% | AvgMoves: 13.7 | Buffer: 400000
[Iter 135] Loss: 3.2989 (P:2.6341, V:0.6616) | WinRate: 100.0% | AvgMoves: 14.1 | Buffer: 400000
[Iter 140] Loss: 3.3157 (P:2.6395, V:0.6730) | WinRate: 100.0% | AvgMoves: 15.0 | Buffer: 400000
[Iter 145] Loss: 3.3150 (P:2.6372, V:0.6748) | WinRate: 100.0% | AvgMoves: 14.8 | Buffer: 400000
[Iter 150] Loss: 3.3133 (P:2.6342, V:0.6761) | WinRate: 100.0% | AvgMoves: 13.8 | Buffer: 400000
[Iter 155] Loss: 3.3214 (P:2.6380, V:0.6804) | WinRate: 100.0% | AvgMoves: 14.0 | Buffer: 400000
[Iter 160] Loss: 3.3214 (P:2.6375, V:0.6810) | WinRate: 100.0% | AvgMoves: 14.4 | Buffer: 400000
[Iter 165] Loss: 3.3057 (P:2.6310, V:0.6717) | WinRate: 100.0% | AvgMoves: 13.8 | Buffer: 400000
[Iter 170] Loss: 3.3078 (P:2.6261, V:0.6786) | WinRate: 100.0% | AvgMoves: 14.2 | Buffer: 400000
[Iter 175] Loss: 3.3243 (P:2.6290, V:0.6922) | WinRate: 100.0% | AvgMoves: 14.4 | Buffer: 400000
[Iter 180] Loss: 3.3243 (P:2.6309, V:0.6903) | WinRate: 100.0% | AvgMoves: 14.2 | Buffer: 400000
[Iter 185] Loss: 3.3085 (P:2.6259, V:0.6795) | WinRate: 100.0% | AvgMoves: 14.3 | Buffer: 400000
[Iter 190] Loss: 3.2886 (P:2.6226, V:0.6629) | WinRate: 100.0% | AvgMoves: 13.6 | Buffer: 400000
