[Iter 5] Loss: 2.8681 (P:2.0817, V:0.6409) | WinRate: 5.0% | AvgMoves: 10.3 | Buffer: 37160
[Iter 10] Loss: 2.6628 (P:1.9759, V:0.6135) | WinRate: 20.0% | AvgMoves: 10.3 | Buffer: 74608
[Iter 15] Loss: 2.5531 (P:1.9104, V:0.5993) | WinRate: 35.0% | AvgMoves: 10.7 | Buffer: 100000
[Iter 20] Loss: 2.4283 (P:1.8407, V:0.5608) | WinRate: 35.0% | AvgMoves: 10.5 | Buffer: 100000
[Iter 25] Loss: 2.3092 (P:1.7660, V:0.5265) | WinRate: 45.0% | AvgMoves: 10.7 | Buffer: 100000
[Iter 30] Loss: 2.2514 (P:1.7469, V:0.4933) | WinRate: 40.0% | AvgMoves: 10.6 | Buffer: 100000
[Iter 35] Loss: 2.1960 (P:1.7070, V:0.4805) | WinRate: 50.0% | AvgMoves: 11.0 | Buffer: 100000
[Iter 40] Loss: 2.1908 (P:1.7033, V:0.4809) | WinRate: 70.0% | AvgMoves: 10.4 | Buffer: 100000
[Iter 45] Loss: 2.1796 (P:1.6837, V:0.4902) | WinRate: 55.0% | AvgMoves: 10.7 | Buffer: 100000
[Iter 50] Loss: 2.1405 (P:1.6625, V:0.4726) | WinRate: 70.0% | AvgMoves: 10.7 | Buffer: 100000
[Iter 55] Loss: 2.0911 (P:1.6234, V:0.4624) | WinRate: 65.0% | AvgMoves: 10.4 | Buffer: 100000
[Iter 60] Loss: 2.1119 (P:1.6328, V:0.4744) | WinRate: 50.0% | AvgMoves: 10.1 | Buffer: 100000
[Iter 65] Loss: 2.1164 (P:1.6390, V:0.4731) | WinRate: 60.0% | AvgMoves: 10.9 | Buffer: 100000
[Iter 70] Loss: 2.0856 (P:1.6198, V:0.4618) | WinRate: 60.0% | AvgMoves: 10.1 | Buffer: 100000
[Iter 75] Loss: 2.0620 (P:1.5978, V:0.4600) | WinRate: 50.0% | AvgMoves: 10.1 | Buffer: 100000
[Iter 80] Loss: 2.0664 (P:1.5953, V:0.4671) | WinRate: 45.0% | AvgMoves: 10.7 | Buffer: 100000
[Iter 85] Loss: 2.0618 (P:1.5871, V:0.4709) | WinRate: 65.0% | AvgMoves: 10.3 | Buffer: 100000
[Iter 90] Loss: 2.0657 (P:1.5912, V:0.4707) | WinRate: 55.0% | AvgMoves: 10.7 | Buffer: 100000
[Iter 95] Loss: 2.0743 (P:1.6010, V:0.4697) | WinRate: 55.0% | AvgMoves: 10.9 | Buffer: 100000
[Iter 100] Loss: 2.0396 (P:1.5794, V:0.4567) | WinRate: 40.0% | AvgMoves: 11.0 | Buffer: 100000
