[Iter 40] Loss: 2.6898 (P:2.1952, V:0.4870) | WinRate: 80.0% | AvgMoves: 11.6 | Buffer: 40160
[Iter 45] Loss: 2.7300 (P:2.2028, V:0.5205) | WinRate: 70.0% | AvgMoves: 11.0 | Buffer: 77800
[Iter 50] Loss: 2.7453 (P:2.2036, V:0.5354) | WinRate: 90.0% | AvgMoves: 11.3 | Buffer: 119744
[Iter 55] Loss: 2.7502 (P:2.2032, V:0.5412) | WinRate: 55.0% | AvgMoves: 10.7 | Buffer: 160200
[Iter 60] Loss: 2.7475 (P:2.2048, V:0.5370) | WinRate: 75.0% | AvgMoves: 10.7 | Buffer: 198752
[Iter 65] Loss: 2.7530 (P:2.2037, V:0.5439) | WinRate: 85.0% | AvgMoves: 11.5 | Buffer: 200000
[Iter 70] Loss: 2.7209 (P:2.1891, V:0.5267) | WinRate: 55.0% | AvgMoves: 10.1 | Buffer: 200000
[Iter 75] Loss: 2.6888 (P:2.1743, V:0.5097) | WinRate: 75.0% | AvgMoves: 11.9 | Buffer: 200000
[Iter 80] Loss: 2.6247 (P:2.1332, V:0.4870) | WinRate: 50.0% | AvgMoves: 10.6 | Buffer: 200000
[Iter 85] Loss: 2.5879 (P:2.1119, V:0.4716) | WinRate: 50.0% | AvgMoves: 10.4 | Buffer: 200000
[Iter 90] Loss: 2.5469 (P:2.0897, V:0.4527) | WinRate: 75.0% | AvgMoves: 10.4 | Buffer: 200000
[Iter 95] Loss: 2.5251 (P:2.0778, V:0.4428) | WinRate: 80.0% | AvgMoves: 11.3 | Buffer: 200000
