[Iter 55] Loss: 2.2193 (P:1.6947, V:0.5246) | WinRate: 100.0% | AvgMoves: 11.5 | Buffer: 22968
[Iter 60] Loss: 2.2127 (P:1.7093, V:0.5034) | WinRate: 100.0% | AvgMoves: 10.8 | Buffer: 45064
[Iter 65] Loss: 2.1334 (P:1.6728, V:0.4606) | WinRate: 100.0% | AvgMoves: 11.5 | Buffer: 66936
[Iter 70] Loss: 2.1542 (P:1.6775, V:0.4767) | WinRate: 100.0% | AvgMoves: 10.7 | Buffer: 80000
[Iter 75] Loss: 2.0958 (P:1.6397, V:0.4561) | WinRate: 100.0% | AvgMoves: 11.0 | Buffer: 80000
[Iter 80] Loss: 2.1029 (P:1.6374, V:0.4655) | WinRate: 100.0% | AvgMoves: 10.3 | Buffer: 80000
[Iter 85] Loss: 2.0994 (P:1.6433, V:0.4561) | WinRate: 100.0% | AvgMoves: 10.8 | Buffer: 80000
[Iter 90] Loss: 2.0091 (P:1.6146, V:0.3944) | WinRate: 100.0% | AvgMoves: 11.0 | Buffer: 80000
[Iter 95] Loss: 2.0550 (P:1.6304, V:0.4246) | WinRate: 100.0% | AvgMoves: 10.9 | Buffer: 80000
[Iter 100] Loss: 2.0313 (P:1.6118, V:0.4194) | WinRate: 100.0% | AvgMoves: 11.3 | Buffer: 80000
[Iter 105] Loss: 2.0059 (P:1.6034, V:0.4025) | WinRate: 100.0% | AvgMoves: 11.2 | Buffer: 80000
[Iter 110] Loss: 1.9960 (P:1.5862, V:0.4098) | WinRate: 100.0% | AvgMoves: 10.8 | Buffer: 80000
[Iter 115] Loss: 1.9634 (P:1.5732, V:0.3902) | WinRate: 100.0% | AvgMoves: 10.2 | Buffer: 80000
[Iter 120] Loss: 1.9506 (P:1.5626, V:0.3880) | WinRate: 100.0% | AvgMoves: 10.4 | Buffer: 80000
[Iter 125] Loss: 1.9140 (P:1.5394, V:0.3746) | WinRate: 100.0% | AvgMoves: 9.6 | Buffer: 80000
[Iter 130] Loss: 1.9016 (P:1.5330, V:0.3685) | WinRate: 100.0% | AvgMoves: 10.0 | Buffer: 80000
[Iter 135] Loss: 1.9034 (P:1.5178, V:0.3856) | WinRate: 100.0% | AvgMoves: 10.1 | Buffer: 80000
[Iter 140] Loss: 1.8936 (P:1.5364, V:0.3573) | WinRate: 100.0% | AvgMoves: 11.9 | Buffer: 80000
[Iter 145] Loss: 1.8473 (P:1.5288, V:0.3185) | WinRate: 100.0% | AvgMoves: 10.7 | Buffer: 80000
[Iter 150] Loss: 1.8447 (P:1.5472, V:0.2975) | WinRate: 100.0% | AvgMoves: 10.6 | Buffer: 80000
[Iter 155] Loss: 1.8441 (P:1.5549, V:0.2892) | WinRate: 100.0% | AvgMoves: 10.5 | Buffer: 80000
[Iter 160] Loss: 1.8487 (P:1.5625, V:0.2863) | WinRate: 100.0% | AvgMoves: 10.3 | Buffer: 80000
[Iter 165] Loss: 1.9046 (P:1.5663, V:0.3384) | WinRate: 100.0% | AvgMoves: 10.5 | Buffer: 80000
[Iter 170] Loss: 1.8680 (P:1.5356, V:0.3324) | WinRate: 100.0% | AvgMoves: 11.0 | Buffer: 80000
[Iter 175] Loss: 1.8632 (P:1.5295, V:0.3336) | WinRate: 100.0% | AvgMoves: 11.1 | Buffer: 80000
[Iter 180] Loss: 1.8763 (P:1.5289, V:0.3474) | WinRate: 100.0% | AvgMoves: 11.1 | Buffer: 80000
[Iter 185] Loss: 1.8643 (P:1.5437, V:0.3206) | WinRate: 100.0% | AvgMoves: 9.0 | Buffer: 80000
[Iter 190] Loss: 1.8514 (P:1.5483, V:0.3031) | WinRate: 100.0% | AvgMoves: 10.5 | Buffer: 80000
[Iter 195] Loss: 1.8536 (P:1.5578, V:0.2958) | WinRate: 100.0% | AvgMoves: 9.8 | Buffer: 80000
[Iter 200] Loss: 1.8185 (P:1.5514, V:0.2671) | WinRate: 100.0% | AvgMoves: 10.9 | Buffer: 80000
