[Iter 90] Loss: 1.6592 (P:1.1803, V:0.4789) | WinRate: 55.0% | AvgMoves: 23.9 | Buffer: 36000
[Iter 95] Loss: 1.7298 (P:1.2269, V:0.5029) | WinRate: 60.0% | AvgMoves: 22.8 | Buffer: 71338
[Iter 100] Loss: 1.8139 (P:1.2587, V:0.5552) | WinRate: 65.0% | AvgMoves: 24.6 | Buffer: 100000
[Iter 105] Loss: 1.8241 (P:1.2502, V:0.5739) | WinRate: 80.0% | AvgMoves: 24.3 | Buffer: 100000
[Iter 110] Loss: 1.7958 (P:1.2282, V:0.5676) | WinRate: 65.0% | AvgMoves: 25.9 | Buffer: 100000
[Iter 115] Loss: 1.7806 (P:1.2081, V:0.5726) | WinRate: 40.0% | AvgMoves: 26.3 | Buffer: 100000
[Iter 120] Loss: 1.7494 (P:1.1845, V:0.5649) | WinRate: 75.0% | AvgMoves: 27.3 | Buffer: 100000
[Iter 125] Loss: 1.7055 (P:1.1524, V:0.5531) | WinRate: 70.0% | AvgMoves: 26.5 | Buffer: 100000
[Iter 130] Loss: 1.6922 (P:1.1397, V:0.5525) | WinRate: 75.0% | AvgMoves: 26.0 | Buffer: 100000
[Iter 135] Loss: 1.6726 (P:1.1401, V:0.5325) | WinRate: 90.0% | AvgMoves: 26.8 | Buffer: 100000
[Iter 140] Loss: 1.6781 (P:1.1383, V:0.5399) | WinRate: 60.0% | AvgMoves: 25.8 | Buffer: 100000
[Iter 145] Loss: 1.6618 (P:1.1175, V:0.5443) | WinRate: 50.0% | AvgMoves: 27.7 | Buffer: 100000
[Iter 150] Loss: 1.6651 (P:1.1236, V:0.5415) | WinRate: 90.0% | AvgMoves: 26.7 | Buffer: 100000
[Iter 155] Loss: 1.6516 (P:1.1197, V:0.5319) | WinRate: 0.0% | AvgMoves: 26.1 | Buffer: 100000
[Iter 160] Loss: 1.6255 (P:1.1051, V:0.5203) | WinRate: 0.0% | AvgMoves: 27.2 | Buffer: 100000
[Iter 165] Loss: 1.6073 (P:1.0854, V:0.5218) | WinRate: 0.0% | AvgMoves: 27.8 | Buffer: 100000
[Iter 170] Loss: 1.5596 (P:1.0538, V:0.5058) | WinRate: 0.0% | AvgMoves: 28.5 | Buffer: 100000
[Iter 175] Loss: 1.5261 (P:1.0274, V:0.4987) | WinRate: 0.0% | AvgMoves: 27.9 | Buffer: 100000
[Iter 180] Loss: 1.5014 (P:1.0120, V:0.4894) | WinRate: 0.0% | AvgMoves: 28.5 | Buffer: 100000
[Iter 185] Loss: 1.4953 (P:0.9892, V:0.5061) | WinRate: 0.0% | AvgMoves: 28.4 | Buffer: 100000
[Iter 190] Loss: 1.4817 (P:0.9812, V:0.5005) | WinRate: 0.0% | AvgMoves: 27.9 | Buffer: 100000
